NDIMENSIONS=3
NI=13
NJ=12
NK=5
x,y,z
2.157936,0.578542,0.578542
2.157936,0.878788,0.000000
2.157936,0.861902,0.171443
2.157936,0.811894,0.336298
2.157936,0.730685,0.488228
2.157936,0.621397,0.621397
2.157936,0.939394,0.000000
2.157936,0.921344,0.183267
2.157936,0.867887,0.359490
2.157936,0.781078,0.521899
2.157936,0.664252,0.664252
2.157936,1.000000,0.000000
2.157936,0.980785,0.195090
2.157936,0.923880,0.382683
2.157936,0.831470,0.555570
2.157936,0.707107,0.707107
2.365864,0.333333,0.000000
2.365864,0.326928,0.065030
2.365864,0.307960,0.127561
2.365864,0.277157,0.185190
2.365864,0.235702,0.235702
2.365864,0.393939,0.000000
2.365864,0.386370,0.076854
2.365864,0.363953,0.150754
2.365864,0.327549,0.218861
2.365864,0.278557,0.278557
2.365864,0.454545,0.000000
2.365864,0.445811,0.088677
2.365864,0.419945,0.173947
2.365864,0.377941,0.252532
2.365864,0.321412,0.321412
2.365864,0.515152,0.000000
2.365864,0.505253,0.100501
2.365864,0.475938,0.197140
2.365864,0.428333,0.286203
2.365864,0.364267,0.364267
2.365864,0.575758,0.000000
2.365864,0.564695,0.112325
2.365864,0.531931,0.220333
2.365864,0.478725,0.319874
2.365864,0.407122,0.407122
2.365864,0.636364,0.000000
2.365864,0.624136,0.124148
2.365864,0.587923,0.243526
2.365864,0.529117,0.353545
2.365864,0.449977,0.449977
2.365864,0.696970,0.000000
2.365864,0.683578,0.135972
2.365864,0.643916,0.266719
2.365864,0.579509,0.387216
2.365864,0.492832,0.492832
2.365864,0.757576,0.000000
2.365864,0.743019,0.147796
2.365864,0.699909,0.289912
2.365864,0.629901,0.420887
2.365864,0.535687,0.535687
2.365864,0.818182,0.000000
2.365864,0.802461,0.159619
2.365864,0.755901,0.313105
2.365864,0.680293,0.454557
2.365864,0.578542,0.578542
2.365864,0.878788,0.000000
2.365864,0.861902,0.171443
2.365864,0.811894,0.336298
2.365864,0.730685,0.488228
2.365864,0.621397,0.621397
2.365864,0.939394,0.000000
2.365864,0.921344,0.183267
2.365864,0.867887,0.359490
2.365864,0.781078,0.521899
2.365864,0.664252,0.664252
2.365864,1.000000,0.000000
2.365864,0.980785,0.195090
2.365864,0.923880,0.382683
2.365864,0.831470,0.555570
2.365864,0.707107,0.707107
2.639608,0.333333,0.000000
2.639608,0.326928,0.065030
2.639608,0.307960,0.127561
2.639608,0.277157,0.185190
2.639608,0.235702,0.235702
2.639608,0.393939,0.000000
2.639608,0.386370,0.076854
2.639608,0.363953,0.150754
2.639608,0.327549,0.218861
2.639608,0.278557,0.278557
2.639608,0.454545,0.000000
2.639608,0.445811,0.088677
2.639608,0.419945,0.173947
2.639608,0.377941,0.252532
2.639608,0.321412,0.321412
2.639608,0.515152,0.000000
2.639608,0.505253,0.100501
2.639608,0.475938,0.197140
2.639608,0.428333,0.286203
2.639608,0.364267,0.364267
2.639608,0.575758,0.000000
2.639608,0.564695,0.112325
2.639608,0.531931,0.220333
2.639608,0.478725,0.319874
2.639608,0.407122,0.407122
2.639608,0.636364,0.000000
2.639608,0.624136,0.124148
2.639608,0.587923,0.243526
2.639608,0.529117,0.353545
2.639608,0.449977,0.449977
2.639608,0.696970,0.000000
2.639608,0.683578,0.135972
2.639608,0.643916,0.266719
2.639608,0.579509,0.387216
2.639608,0.492832,0.492832
2.639608,0.757576,0.000000
2.639608,0.743019,0.147796
2.639608,0.699909,0.289912
2.639608,0.629901,0.420887
2.639608,0.535687,0.535687
2.639608,0.818182,0.000000
2.639608,0.802461,0.159619
2.639608,0.755901,0.313105
2.639608,0.680293,0.454557
2.639608,0.578542,0.578542
2.639608,0.878788,0.000000
2.639608,0.861902,0.171443
2.639608,0.811894,0.336298
2.639608,0.730685,0.488228
2.639608,0.621397,0.621397
2.639608,0.939394,0.000000
2.639608,0.921344,0.183267
2.639608,0.867887,0.359490
2.639608,0.781078,0.521899
2.639608,0.664252,0.664252
2.639608,1.000000,0.000000
2.639608,0.980785,0.195090
2.639608,0.923880,0.382683
2.639608,0.831470,0.555570
2.639608,0.707107,0.707107
3.000000,0.333333,0.000000
3.000000,0.326928,0.065030
3.000000,0.307960,0.127561
3.000000,0.277157,0.185190
3.000000,0.235702,0.235702
3.000000,0.393939,0.000000
3.000000,0.386370,0.076854
3.000000,0.363953,0.150754
3.000000,0.327549,0.218861
3.000000,0.278557,0.278557
3.000000,0.454545,0.000000
3.000000,0.445811,0.088677
