NDIMENSIONS=2
NI=22
NJ=12
NK=1
x,y,z
1.573111,0.179939,0.000000
1.572943,0.261945,0.000000
1.572775,0.343951,0.000000
1.572606,0.425957,0.000000
1.572438,0.507963,0.000000
1.572270,0.589970,0.000000
1.572102,0.671976,0.000000
1.571933,0.753982,0.000000
1.571765,0.835988,0.000000
1.571597,0.917994,0.000000
1.571429,1.000000,0.000000
1.718907,0.081437,0.000000
1.718487,0.164942,0.000000
1.718067,0.248448,0.000000
1.717647,0.331954,0.000000
1.717227,0.415460,0.000000
1.716806,0.498965,0.000000
1.716386,0.582471,0.000000
1.715966,0.665977,0.000000
1.715546,0.749483,0.000000
1.715126,0.832988,0.000000
1.714706,0.916494,0.000000
1.714286,1.000000,0.000000
1.861752,0.048653,0.000000
1.861333,0.135139,0.000000
1.860914,0.221625,0.000000
1.860495,0.308112,0.000000
1.860076,0.394598,0.000000
1.859657,0.481084,0.000000
1.859238,0.567570,0.000000
1.858819,0.654056,0.000000
1.858400,0.740542,0.000000
1.857981,0.827028,0.000000
1.857562,0.913514,0.000000
1.857143,1.000000,0.000000
2.000000,0.000000,0.000000
2.000000,0.090909,0.000000
2.000000,0.181818,0.000000
2.000000,0.272727,0.000000
2.000000,0.363636,0.000000
2.000000,0.454545,0.000000
2.000000,0.545455,0.000000
2.000000,0.636364,0.000000
2.000000,0.727273,0.000000
2.000000,0.818182,0.000000
2.000000,0.909091,0.000000
2.000000,1.000000,0.000000
2.142857,0.000000,0.000000
2.142857,0.090909,0.000000
2.142857,0.181818,0.000000
2.142857,0.272727,0.000000
2.142857,0.363636,0.000000
2.142857,0.454545,0.000000
2.142857,0.545455,0.000000
2.142857,0.636364,0.000000
2.142857,0.727273,0.000000
2.142857,0.818182,0.000000
2.142857,0.909091,0.000000
2.142857,1.000000,0.000000
2.285714,0.000000,0.000000
2.285714,0.090909,0.000000
2.285714,0.181818,0.000000
2.285714,0.272727,0.000000
2.285714,0.363636,0.000000
2.285714,0.454545,0.000000
2.285714,0.545455,0.000000
2.285714,0.636364,0.000000
2.285714,0.727273,0.000000
2.285714,0.818182,0.000000
2.285714,0.909091,0.000000
2.285714,1.000000,0.000000
2.428571,0.000000,0.000000
2.428571,0.090909,0.000000
2.428571,0.181818,0.000000
2.428571,0.272727,0.000000
2.428571,0.363636,0.000000
2.428571,0.454545,0.000000
2.428571,0.545455,0.000000
2.428571,0.636364,0.000000
2.428571,0.727273,0.000000
2.428571,0.818182,0.000000
2.428571,0.909091,0.000000
2.428571,1.000000,0.000000
2.571429,0.000000,0.000000
2.571429,0.090909,0.000000
2.571429,0.181818,0.000000
2.571429,0.272727,0.000000
2.571429,0.363636,0.000000
2.571429,0.454545,0.000000
2.571429,0.545455,0.000000
2.571429,0.636364,0.000000
2.571429,0.727273,0.000000
2.571429,0.818182,0.000000
2.571429,0.909091,0.000000
2.571429,1.000000,0.000000
2.714286,0.000000,0.000000
2.714286,0.090909,0.000000
2.714286,0.181818,0.000000
2.714286,0.272727,0.000000
2.714286,0.363636,0.000000
2.714286,0.454545,0.000000
2.714286,0.545455,0.000000
2.714286,0.636364,0.000000
2.714286,0.727273,0.000000
2.714286,0.818182,0.000000
2.714286,0.909091,0.000000
2.714286,1.000000,0.000000
2.857143,0.000000,0.000000
2.857143,0.090909,0.000000
2.857143,0.181818,0.000000
2.857143,0.272727,0.000000
2.857143,0.363636,0.000000
2.857143,0.454545,0.000000
2.857143,0.545455,0.000000
2.857143,0.636364,0.000000
2.857143,0.727273,0.000000
2.857143,0.818182,0.000000
2.857143,0.909091,0.000000
2.857143,1.000000,0.000000
3.000000,0.000000,0.000000
3.000000,0.090909,0.000000
3.000000,0.181818,0.000000
3.000000,0.272727,0.000000
3.000000,0.363636,0.000000
3.000000,0.454545,0.000000
3.000000,0.545455,0.000000
3.000000,0.636364,0.000000
3.000000,0.727273,0.000000
3.000000,0.818182,0.000000
3.000000,0.909091,0.000000
3.000000,1.000000,0.000000
